DNI,APE,TEMP_AMB,VEL_VIENTO,SMR,POTENCIA
664.82843,1.820243421,32.815,5.3094,0.883856875,836.53842,2
690.44118,1.803423908,31.884,8.1968,0.884197194,807.01259,2
627.94118,1.814024598,32.909,2.0492,0.88610376,763.77567,2
644.73039,1.816549453,26.882,10.2104,0.889789588,806.85678,2
622.67157,1.78699111,29.43,7.0942,0.89011065,784.26446,2
670.95588,1.806058104,35.396,13.126,0.890268784,793.06766,2
681.61765,1.808913001,34.601,4.1192,0.890461975,797.04088,2
629.28922,1.793117855,27.841,2.3711,0.890507062,756.53052,2
681.61765,1.826871607,16.528,11.8616,0.890533483,822.98303,2
665.56373,1.818115033,33.714,8.7109,0.89099085,813.63447,2
627.32843,1.815335484,12.989,5.3718,0.891814721,789.32828,2
602.45098,1.804932366,28.197,2.4401,0.891869474,774.21484,2
627.32843,1.816277449,28.767,9.007,0.892242333,784.80982,2
617.27941,1.783842395,23.009,1.8368,0.8923847,853.52156,2
656.86275,1.812954557,36.826,8.517,0.893583086,783.79712,2
625.98039,1.810094236,33.062,13.394,0.893639172,754.03757,2
692.40196,1.812855314,33.035,0.9827,0.893988732,817.8413,2
646.07843,1.782964382,32.213,4.1564,0.894119409,797.50822,2
615.93137,1.827873401,35.078,11.5429,0.894224317,789.01665,2
664.82843,1.81089583,33.813,10.0702,0.894415661,768.44984,2
682.35294,1.811514621,31.375,2.9366,0.895056071,806.62305,2
682.96569,1.783727622,29.797,8.5214,0.895649797,840.12199,2
618.62745,1.813479182,32.772,5.8722,0.897161661,726.30352,2
617.89216,1.786333389,31.298,0.0372,0.897473192,798.67684,2
667.52451,1.854033386,16.326,1.0933,0.898484754,947.6302,2
675.61275,1.810202723,39.231,4.221,0.898917683,797.81985,2
696.44608,1.823411794,32.147,3.759,0.90115225,808.49274,3
642.76961,1.811028464,15.23,4.942,0.902237993,886.24152,2
689.09314,1.82682136,33.276,6.0841,0.90254264,856.09242,3
644.11765,1.815140155,35.396,2.0251,0.902829752,826.41078,2
630.63726,1.820495867,31.276,11.1022,0.903060115,823.52839,2
663.60294,1.810567507,34.174,7.7309,0.904428871,763.30822,2
666.91177,1.815327657,31.983,13.756,0.904903777,790.80843,2
615.19608,1.802735933,31.468,6.5522,0.905049083,741.18335,2
601.83824,1.819714486,12.863,2.9761,0.905186166,764.86628,2
675.61275,1.822673569,27.299,13.531,0.907059253,847.44504,3
611.88726,1.820896347,37.538,0.0433,0.907749473,767.82668,2
646.81373,1.823482303,28.718,7.9471,0.907896452,805.53244,2
668.25981,1.81834781,30.849,11.247,0.908685772,763.93138,2
646.81373,1.790407081,30.838,2.0081,0.908728503,823.68421,2
678.30883,1.819917042,35.451,2.8534,0.909226392,879.77545,2
666.17647,1.819867639,36.831,5.2607,0.909355371,790.96425,2
672.91667,1.787584627,32.58,5.1025,0.909761525,825.70971,2
612.5,1.819225957,32.848,7.219,0.909945806,721.62924,2
680.26961,1.818503612,35.385,10.135,0.910276527,809.50555,2
681.0049,1.813534357,35.242,3.5772,0.910786594,804.67545,2
617.89216,1.819933024,12.962,7.4801,0.912722736,798.2873,2
641.42157,1.815196951,33.1,11.68,0.912838658,778.65539,2
648.77451,1.800890165,27.808,3.8444,0.913687869,778.88911,2
661.51961,1.821937048,33.659,5.5892,0.915273449,831.55251,2
684.31373,1.825328006,27.08,14.934,0.915699426,860.61089,3
648.16177,1.833122997,37.028,6.6513,0.91607919,814.25774,2
644.73039,1.844332133,8.514,2.358,0.919100657,833.26638,2
662.86765,1.825710965,33.029,2.1965,0.91952199,795.24899,2
625.98039,1.813839094,28.038,3.5832,0.919635355,819.63308,2
656.86275,1.828427117,28.888,8.4481,0.923733825,820.33426,2
674.26471,1.823138698,31.846,11.373,0.923964448,810.36254,2
630.63726,1.827316926,37.483,7.6488,0.925820702,783.56339,2
630.02451,1.806802477,27.901,1.8702,0.926496001,759.1793,2
649.50981,1.823518209,11.872,0.0394,0.926679899,854.45646,2
682.35294,1.824624033,31.123,12.584,0.926751969,792.13287,2
677.57353,1.818928159,34.453,6.8308,0.926918174,777.40886,2
682.35294,1.82423253,36.864,4.1827,0.92698914,810.59627,2
689.09314,1.794042361,32.372,6.083,0.927455001,849.47054,2
666.91177,1.83130555,31.369,5.2733,0.928102727,892.86339,2
663.60294,1.799222278,29.408,7.4008,0.928147264,829.29328,2
666.91177,1.837296575,37.735,6.0337,0.928274503,835.68143,2
697.05883,1.830972335,33.73,7.1336,0.928372295,850.71708,3
693.75,1.796130495,22.582,3.0138,0.928405097,889.82508,2
659.55883,1.82300973,35.286,3.6933,0.928762235,892.47385,2
658.21079,1.822500233,33.248,9.5304,0.928990254,794.00256,2
640.68628,1.796295449,30.301,1.4136,0.929053444,825.70971,2
655.51471,1.875979674,29.353,1.0101,0.929183881,916.23469,2
670.22059,1.827821059,33.358,6.5264,0.931282255,853.83319,3
689.70588,1.830410725,27.556,7.4714,0.933246924,871.20587,3
652.81863,1.833166249,28.707,9.9137,0.933736518,827.89104,2
677.57353,1.831078875,32.361,4.947,0.934280296,817.60758,2
665.56373,1.798540803,30.328,1.0555,0.934747731,853.9111,2
627.32843,1.825017661,33.144,12.419,0.935577857,785.12145,2
668.87255,1.801063436,28.416,3.0702,0.935907731,871.75123,2
670.22059,1.849959576,16.463,0.0493,0.937498548,928.0762,2
601.10294,1.821278264,34.338,8.3911,0.938999562,797.2746,2
630.63726,1.849563893,36.124,2.0634,0.939148604,887.79957,2
650.12255,1.83115388,37.872,5.9122,0.939219407,810.36254,2
688.35784,1.834129962,31.303,5.9724,0.939717887,946.5396,3
662.2549,1.875557019,29.014,1.0046,0.941227197,920.20779,2
697.05883,1.828631076,36.941,11.8703,0.941247409,832.87695,2
677.57353,1.804385007,29.622,1.7037,0.942440642,847.75667,2
664.21569,1.828979825,32.739,9.0875,0.942699064,774.60438,2
687.7451,1.833503049,12.727,3.7184,0.943200581,861.7016,2
625.2451,1.85661093,34.174,4.088,0.943397709,934.38645,2
688.35784,1.802287831,30.126,4.3803,0.943707406,873.69883,2
691.05392,1.82884346,31.829,11.3677,0.944001937,825.08645,2
685.04902,1.834569432,32.772,6.6118,0.944120212,834.27919,2
635.41667,1.854077327,35.67,3.3128,0.944329504,882.50203,2
661.51961,1.833509569,12.842,2.8009,0.944396497,856.63778,2
663.60294,1.837579932,29.008,11.0847,0.945042315,837.78485,2
614.58333,1.812052918,27.885,2.5704,0.946568701,744.06574,2
607.84314,1.8228156,35.933,12.94,0.947405918,798.59893,2
631.37255,1.857698415,35.073,1.4864,0.947687702,915.06617,2
690.44118,1.832145134,33.555,8.557,0.947887926,874.16628,3
612.5,1.855812713,16.287,1.1634,0.948615548,864.19445,2
682.35294,1.854107792,17.087,4.388,0.949478411,903.53629,3
643.38235,1.8162584,31.429,7.2644,0.949716122,785.97844,2
643.38235,1.83633728,14.567,13.373,0.949967584,881.87887,2
687.00981,1.880019747,29.698,1.9134,0.950678728,938.20374,2
611.15196,1.83100066,34.443,9.9503,0.951365875,700.51718,2
631.37255,1.82558004,34.552,10.7464,0.952954123,823.45048,2
695.71079,1.851417769,17.208,0.8097,0.954259182,921.68805,2
611.15196,1.853498767,16.912,2.502,0.955186716,823.99584,2
647.42647,1.829998427,33.237,8.4037,0.955905178,807.86958,2
697.05883,1.835828476,33.511,4.8123,0.956250248,877.74984,3
682.96569,1.854401276,16.682,1.6348,0.956895005,888.73437,2
603.79902,1.836074992,29.123,6.8467,0.95699102,902.60139,2
697.79412,1.881814989,29.78,2.2791,0.957071159,949.5778,2
647.42647,1.861012055,36.201,8.4853,0.957518376,902.28975,2
684.31373,1.806382291,30.641,1.2335,0.957615292,879.77545,2
682.96569,1.832585317,34.914,5.5612,0.957803529,914.52081,2
696.44608,1.84619317,37.74,6.3211,0.957835471,871.59541,2
627.32843,1.836556027,31.205,4.993,0.958915701,795.17108,2
697.79412,1.847272129,35.023,15.252,0.960047821,875.17908,2
623.28432,1.82718989,36.36,8.1563,0.960293566,820.10053,2
683.70098,1.835703955,33.144,6.6014,0.960570332,790.96425,2
652.08333,1.860804491,36.059,3.6259,0.960683661,906.34088,2
698.40686,1.849058115,18.862,0.0465,0.961027653,929.16681,2
612.5,1.829290277,35.319,7.1062,0.962336343,839.03138,2
648.77451,1.866076261,34.837,6.3348,0.96261068,960.01708,2
664.21569,1.836396557,30.482,7.951,0.964192834,991.72412,3
662.2549,1.845365562,29.107,7.2677,0.964356697,851.26233,2
637.9902,1.811006603,22.746,4.2862,0.964541344,900.88751,2
685.66177,1.810802175,24.149,1.9342,0.965655402,902.05614,2
695.09804,1.8317741,34.936,2.3826,0.965861181,924.80416,2
656.86275,1.83003947,34.525,9.7735,0.967089963,851.0286,2
650.7353,1.821515421,31.528,4.9508,0.967689418,805.53244,2
615.19608,1.843364559,35.801,1.8286,0.969524759,847.75667,2
649.50981,1.845642741,13.214,1.8773,0.969661263,897.69338,2
677.57353,1.85512271,16.26,2.2288,0.969710733,892.55176,2
656.12745,1.848339716,29.287,16.687,0.970679404,856.01451,2
618.62745,1.808209042,24.182,2.8939,0.972120306,955.73223,2
654.16667,1.851468827,29.556,10.332,0.972325661,855.07972,2
629.28922,1.83341764,35.746,3.5526,0.973232822,868.71291,2
650.12255,1.846515633,11.127,1.4141,0.973564833,901.43287,2
695.71079,1.839687095,33.155,6.262,0.973605033,805.99989,2
643.38235,1.841151936,30.942,3.1748,0.973866288,815.73789,2
679.65686,1.843767191,38.305,3.1463,0.976277347,859.98762,2
631.37255,1.845883088,14.414,1.0944,0.976522732,824.69691,2
